schools,districts,countys,sat_pct_pass_gr12,act_pct_pass_gr12,pct_poverty,pct_asian,pct_black,pct_hispanic,pct_white,pct_mixed,pct_other_race,act_tst_tkrs_gr12,enroll_gr12,sat_tst_tkrs_gr12,school_score_class,school_pov_class
Alameda High,Alameda Unified,Alameda,69.0,91.0,20.3,35.227912211592574,4.783342712436691,14.518851997749016,30.61339335959482,7.765897580191333,7.090602138435566,93.0,463.0,190.0,good,very low
Encinal Junior/Senior High,Alameda Unified,Alameda,55.00000000000001,82.0,39.0,22.693877551020407,12.081632653061225,16.979591836734695,26.53061224489796,8.653061224489795,13.061224489795919,44.0,233.0,92.0,good,low
Albany High,Albany City Unified,Alameda,84.0,88.0,18.1,30.76923076923077,2.765773552290406,16.33535004321521,35.09075194468453,11.840968020743302,3.197925669835782,58.0,296.0,114.0,excellent,very low
Berkeley High,Berkeley Unified,Alameda,75.0,74.0,26.1,7.342549923195084,12.688172043010754,22.1505376344086,42.11981566820276,14.592933947772657,1.1059907834101383,222.0,715.0,292.0,good,low
Castro Valley High,Castro Valley Unified,Alameda,75.0,77.0,22.0,28.391167192429023,5.327725201542236,22.81808622502629,27.690150718541883,9.288468279004556,6.484402383456011,106.0,644.0,311.0,good,very low
American High,Fremont Unified,Alameda,86.0,93.0,19.9,63.67606192933704,2.3818975784041285,8.654227868201668,11.988884477967447,3.8507344184200076,9.44819372766971,136.0,538.0,203.0,excellent,very low
Irvington High,Fremont Unified,Alameda,85.0,93.0,16.5,72.3700887198986,1.0984368398817068,9.083227714406423,9.632446134347274,2.1123785382340516,5.7034220532319395,111.0,497.0,179.0,excellent,very low
Mission San Jose High,Fremont Unified,Alameda,95.0,96.0,6.7,90.33203125,0.048828125,2.1484375,4.19921875,1.611328125,1.66015625,157.0,490.0,149.0,excellent,very low
Leadership Public Schools - Hayward,Hayward Unified,Alameda,48.0,28.999999999999996,62.2,11.148086522462561,2.1630615640599005,68.38602329450914,2.329450915141431,1.3311148086522462,14.64226289517471,134.0,140.0,106.0,fair,medium
Hayward High,Hayward Unified,Alameda,34.0,56.99999999999999,68.6,5.071119356833643,13.91465677179963,63.821892393320965,5.936920222634509,3.339517625231911,7.915893630179345,37.0,355.0,135.0,fair,medium
Mt. Eden High,Hayward Unified,Alameda,49.0,57.99999999999999,65.4,11.555777888944473,7.35367683841921,56.8784392196098,3.451725862931466,2.501250625312656,18.25912956478239,38.0,459.0,164.0,fair,medium
Impact Academy of Arts & Technology,Hayward Unified,Alameda,39.0,22.0,64.2,7.464454976303317,5.568720379146919,66.9431279620853,3.7914691943127963,4.62085308056872,11.61137440758294,23.0,102.0,54.0,fair,medium
Livermore High,Livermore Valley Joint Unified,Alameda,73.0,81.0,24.1,8.243534482758621,1.9396551724137931,29.74137931034483,48.4375,7.058189655172415,4.579741379310344,99.0,437.0,132.0,good,very low
Newark Memorial High,Newark Unified,Alameda,45.0,71.0,45.3,13.009592326139089,3.8968824940047964,53.47721822541966,12.470023980815348,3.297362110311751,13.848920863309353,31.0,397.0,141.0,fair,low
James Logan High,New Haven Unified,Alameda,60.0,68.0,43.5,25.28767123287671,5.397260273972602,34.821917808219176,5.095890410958904,4.821917808219178,24.575342465753426,132.0,885.0,336.0,good,low
Oakland Unity High,Oakland Unified,Alameda,40.0,23.0,85.1,0.0,4.788732394366197,94.08450704225352,0.0,0.0,1.1267605633802817,53.0,81.0,35.0,fair,high
McClymonds High,Oakland Unified,Alameda,11.0,11.0,85.9,3.6211699164345403,80.50139275766016,7.7994428969359335,2.785515320334262,0.8356545961002786,4.456824512534819,45.0,77.0,45.0,poor,high
Oakland Charter High,Oakland Unified,Alameda,60.0,61.0,82.1,34.490238611713664,5.42299349240781,56.61605206073753,1.735357917570499,0.43383947939262474,1.3015184381778742,18.0,110.0,67.0,good,high
LPS Oakland R & D Campus,Oakland Unified,Alameda,17.0,4.0,96.7,0.8032128514056224,6.2248995983935735,91.76706827309236,0.0,0.2008032128514056,1.0040160642570282,99.0,111.0,42.0,poor,high
LIFE Academy,Oakland Unified,Alameda,38.0,48.0,90.8,4.288939051918736,5.8690744920993225,87.3589164785553,0.4514672686230248,0.4514672686230248,1.580135440180587,27.0,65.0,39.0,fair,high
Oakland High,Oakland Unified,Alameda,30.0,41.0,86.4,31.68376584188292,23.47616173808087,37.11526855763428,2.2933011466505735,1.6898008449004225,3.7417018708509353,74.0,328.0,116.0,fair,high
Oakland Technical High,Oakland Unified,Alameda,61.0,73.0,47.5,19.28571428571429,26.887755102040817,19.03061224489796,24.43877551020408,5.816326530612245,4.540816326530613,131.0,492.0,186.0,good,low
Skyline High,Oakland Unified,Alameda,31.0,50.0,72.5,11.731135066582118,30.754597336715285,36.01775523145213,10.843373493975903,3.9949270767279645,6.658211794546608,66.0,398.0,138.0,fair,medium
Oakland School for the Arts,Oakland Unified,Alameda,60.0,73.0,13.3,7.440100882723834,19.041614123581336,18.28499369482976,36.0655737704918,17.276166456494323,1.8915510718789406,30.0,103.0,48.0,good,very low
Piedmont High,Piedmont City Unified,Alameda,89.0,97.0,1.2,11.432009626955475,1.444043321299639,7.099879663056559,62.936221419975936,16.24548736462094,0.842358604091456,111.0,205.0,64.0,excellent,very low
San Leandro High,San Leandro Unified,Alameda,40.0,56.00000000000001,58.5,15.455551457026928,14.754703061600885,47.399483585392844,7.7462191073404645,3.578015492438215,11.066027296200664,78.0,662.0,193.0,fair,medium
KIPP King Collegiate High,San Lorenzo Unified,Alameda,42.0,54.0,62.2,25.688073394495415,10.091743119266056,51.223241590214066,5.963302752293578,3.058103975535168,3.9755351681957185,108.0,144.0,65.0,fair,medium
San Lorenzo High,San Lorenzo Unified,Alameda,32.0,31.0,65.4,8.920539730134932,12.893553223388308,63.41829085457271,4.272863568215892,1.5742128935532234,8.920539730134932,48.0,346.0,91.0,fair,medium
Dublin High,Dublin Unified,Alameda,78.0,87.0,10.0,47.22222222222222,4.261363636363636,11.7739898989899,23.106060606060606,7.449494949494949,6.186868686868687,216.0,622.0,271.0,excellent,very low
Amador Valley High,Pleasanton Unified,Alameda,84.0,92.0,7.3,42.39209948792978,0.6217995610826628,8.339429407461594,41.916605705925384,4.279444038039502,2.4506217995610826,280.0,654.0,259.0,excellent,very low
Amador High,Amador County Unified,Amador,69.0,94.0,35.8,0.5865102639296188,0.43988269794721413,18.7683284457478,70.08797653958945,7.038123167155426,3.0791788856304985,17.0,154.0,26.0,good,low
Chico High,Chico Unified,Butte,66.0,70.0,40.1,4.5220377790498,3.3772180881511162,25.357756153405838,57.355466514024044,3.205495134516314,6.18202633085289,46.0,475.0,135.0,good,low
Pleasant Valley High,Chico Unified,Butte,70.0,71.0,36.1,7.2138003136434925,1.986408782017773,19.079979090433874,64.03554626241505,3.5023523261892313,4.181913225300575,84.0,462.0,135.0,good,low
Oroville High,Oroville Union High,Butte,38.0,37.0,79.4,21.01522842639594,6.091370558375635,17.258883248730964,44.77157360406092,1.116751269035533,9.746192893401014,19.0,225.0,42.0,fair,high
Paradise Senior High,Paradise Unified,Butte,73.0,73.0,60.099999999999994,0.7029876977152899,0.17574692442882248,12.82952548330404,75.92267135325132,8.43585237258348,1.9332161687170473,22.0,231.0,52.0,good,medium
Gridley High,Gridley Unified,Butte,47.0,60.0,68.7,2.4427480916030535,0.45801526717557256,54.656488549618324,40.0,0.6106870229007634,1.8320610687022902,15.0,158.0,64.0,fair,medium
Calaveras High,Calaveras Unified,Calaveras,70.0,84.0,46.8,1.4742014742014742,0.6142506142506142,21.867321867321866,68.91891891891892,4.2997542997543,2.8255528255528257,19.0,189.0,37.0,good,low
