CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip
1.10E+12,691051,,Active,Alameda,Alameda County Office of Education,,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136
1.10E+12,691051,10546,Closed,Alameda,Alameda County Office of Education,FAME Public Charter,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,94560-5359
1.10E+12,691051,10947,Active,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,1515 Webster Street,1515 Webster St.,Oakland,94612-3355
1.10E+12,691051,12283,Closed,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,2125 Jefferson Avenue,2125 Jefferson Ave.,Berkeley,94703-1414
1.10E+12,691051,12844,Active,Alameda,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903
1.10E+12,691051,12901,Active,Alameda,Alameda County Office of Education,Yu Ming Charter,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265
1.10E+12,691051,13008,Active,Alameda,Alameda County Office of Education,Urban Montessori Charter,5328 Brann Street,5328 Brann St.,Oakland,94619-3312
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,"Technical, Agricultural & Nat.",597 C Street,597 C St.,Hayward,94541
1.10E+12,691051,9264,Active,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005
1.10E+12,691051,6830,Active,Alameda,Alameda County Office of Education,Alameda County Community,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136
1.10E+12,691051,9265,Closed,Alameda,Alameda County Office of Education,Alameda County Opportunity,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Berkeley Trade & Tech. College,,,,
1.10E+12,691051,,Active,Alameda,Alameda County Office of Education,Oakland Unity Middle,6038 Brann Street,6038 Brann St.,Oakland,94605-1544
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Canyon Valley Adult School,,,,
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Roosevelt High (Defunct),,,,
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,University High School (Defunc,,,,
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Washington Evening High (Defun,,,,
1.10E+12,691051,4257,Active,Alameda,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750
1.10E+12,691051,4288,Active,Alameda,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,824 29th Ave.,Oakland,94601-2205
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Chabot Ranch,2500 Fairmont Drive,2500 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,Juvenile Court Schools,2400 Fairmont Drive,2400 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Las Vistas School,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Senior Camp,2600 Fairmont Drive,2600 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Snedigar Cottage,2100 Fairmont Drive,2100 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,Koster/Whiteford Special Center,35725 Cedar Avenue,35725 Cedar Ave.,Newark,94560
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Whiteford School (TMR),685 A Street,685 A St.,Hayward,94541
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Alameda County Special Education,685 A Street,685 A St.,Hayward,94541
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Buena Vista School (Girls),2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,Whiteford (June) School,35725 Cedar Boulevard,35725 Cedar Blvd.,Newark,94560
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,School for School-Age Mothers,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,Sequoia Deaf/Blind Program,685 A Street,685 A St.,Hayward,94541
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,Burke (William P.) Special Center,612 West A Street,612 West A St.,Hayward,94541
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,East County Dch,7997 Vomac Road,7997 Vomac Rd.,Dublin,94566
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,La Fleche (Rock) Special Center,6925 Chabot Road,6925 Chabot Rd.,Oakland,94618
1.10E+12,691051,,Merged,Alameda,Alameda County Office of Education,Motta (Ronald) Special Center,40950 Chapel Way,40950 Chapel Way,Fremont,94538
1.10E+12,691051,8672,Active,Alameda,Alameda County Office of Education,Alameda County Special Education,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136
1.10E+12,691051,,Closed,Alameda,Alameda County Office of Education,New Village Community Public Charter East Bay,,,,
1.32E+12,600002,,Active,Alameda,California School for the Blind (State Special Schl),,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365
1.32E+12,600002,10346,Active,Alameda,California School for the Blind (State Special Schl),California School for the Blind,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365
1.32E+12,600003,,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308
1.32E+12,600003,10347,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308
1.34E+12,,,Closed,Alameda,"California Community College, Chancellors",Franklin Parent Nursery,1460 Eighth Street,1460 Eighth St.,Berkeley,94703
1.40E+12,601397,,Closed,Alameda,Mission Valley ROC/P,"David W. Gordon,Govt. Affairs",PO Box 944272,PO Box 944272,Sacramento,94244
1.61E+12,601770,,Active,Alameda,Alameda Unified,,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037
1.61E+12,601770,,Closed,Alameda,Alameda Unified,College Preparatory & Architecture Academy,4610 Foothill Boulevard,4610 Foothill Blvd.,Oakland,94601
1.61E+12,601770,10547,Active,Alameda,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue,555 Atlantic Ave.,Alameda,94501-2109
1.61E+12,601770,11549,Active,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901
1.61E+12,601770,12399,Active,Alameda,Alameda Unified,Nea Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851
1.61E+12,601770,42,Active,Alameda,Alameda Unified,The Academy of Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837
1.61E+12,601770,13107,Active,Alameda,Alameda Unified,Maya Lin,825 Taylor Street,825 Taylor St.,Alameda,94501-3411
1.61E+12,601770,13712,Closed,Alameda,Alameda Unified,Encinal Junior Jets,210 Central Avenue,210 Central Ave.,Alameda,94501-3246
1.61E+12,601770,13205,Active,Alameda,Alameda Unified,Alameda Adult,1300 Third Street,1300 Third St.,Alameda,94501
1.61E+12,601770,41,Active,Alameda,Alameda Unified,Alameda High,2201 Encinal Avenue,2201 Encinal Ave.,Alameda,94501-4406
1.61E+12,601770,,Closed,Alameda,Alameda Unified,Alameda City Unified Alternative Educ.,2437 Eagle Avenue,2437 Eagle Ave.,Alameda,94501
1.61E+12,601770,8673,Active,Alameda,Alameda Unified,Alameda Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851
1.61E+12,601770,8674,Active,Alameda,Alameda Unified,Alternatives in Action,6221 E 17th Street,6221 E 17th St.,Oakland,94621
1.61E+12,601770,,Active,Alameda,Alameda Unified,The Academy of Alameda Elementary,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837
1.61E+12,601770,,Active,Alameda,Alameda Unified,Encinal Junior/Senior High,210 Central Avenue,210 Central Ave.,Alameda,94501-3246
1.61E+12,601770,45,Closed,Alameda,Alameda Unified,Encinal High,210 Central Avenue,210 Central Ave.,Alameda,94501-3278
1.61E+12,601770,48,Active,Alameda,Alameda Unified,Island High (Continuation),1900 Third Street,1900 Third St.,Alameda,94501-1851
1.61E+12,601770,42,Closed,Alameda,Alameda Unified,Chipman Middle,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837
1.61E+12,601770,51,Active,Alameda,Alameda Unified,Donald D. Lum Elementary,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024
1.61E+12,601770,44,Active,Alameda,Alameda Unified,Edison Elementary,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610
1.61E+12,601770,54,Active,Alameda,Alameda Unified,Frank Otis Elementary,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544
1.61E+12,601770,4337,Active,Alameda,Alameda Unified,Franklin Elementary,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039
